participantId,trialId,trialOrder,responseId,status,percentComplete,description,responsePrompt,answer,correctAnswer,isCorrectlyAnswered,responseMin,responseMax,startTime,endTime,duration,cleaned_times,dataset
574dc90512d86b000f833ab0,Tennis-Both-Q1,13,voq1,completed,100.0,Content: Text and Visual,How many sets are there?,4,4,True,0,100,2024-08-21T23:11:10.001Z,2024-08-21T23:12:16.290Z,66289,66289,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q1,13,voq2,completed,100.0,Content: Text and Visual,What is the largest set?,Australian,Australian,True,undefined,undefined,2024-08-21T23:11:10.001Z,2024-08-21T23:12:16.290Z,66289,66289,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q1,13,voq3,completed,100.0,Content: Text and Visual,What is the largest intersection?,French Open,French Open,True,undefined,undefined,2024-08-21T23:11:10.001Z,2024-08-21T23:12:16.290Z,66289,66289,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q1,13,voq4,completed,100.0,Content: Text and Visual,How large is the largest intersection?,23,23,True,0,1000000000,2024-08-21T23:11:10.001Z,2024-08-21T23:12:16.290Z,66289,66289,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q1,13,voq5,completed,100.0,Content: Text and Visual,How many sets make up the largest intersection?,It is only of a single set,It is only of a single set,True,undefined,undefined,2024-08-21T23:11:10.001Z,2024-08-21T23:12:16.290Z,66289,66289,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q1,13,voq6,completed,100.0,Content: Text and Visual,How similar are the set sizes?,Diverging a bit,Roughly equal,False,undefined,undefined,2024-08-21T23:11:10.001Z,2024-08-21T23:12:16.290Z,66289,66289,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q1,13,voq7,completed,100.0,Content: Text and Visual,Is the largest set present in the largest intersection?,No,No,True,undefined,undefined,2024-08-21T23:11:10.001Z,2024-08-21T23:12:16.290Z,66289,66289,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q1,13,voq8,completed,100.0,Content: Text and Visual,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-21T23:11:10.001Z,2024-08-21T23:12:16.290Z,66289,66289,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q2,14,voq1,completed,100.0,Content: Text and Visual,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-21T23:12:16.312Z,2024-08-21T23:12:28.154Z,11842,11842,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q2,14,voq2,completed,100.0,Content: Text and Visual,How well did you understand the information presented?,5,undefined,undefined,undefined,undefined,2024-08-21T23:12:16.312Z,2024-08-21T23:12:28.154Z,11842,11842,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q2,14,voq3,completed,100.0,Content: Text and Visual,How effective was the content at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T23:12:16.312Z,2024-08-21T23:12:28.154Z,11842,11842,Tennis Grand Slam Winners
574dc90512d86b000f833ab0,Tennis-Both-Q3,15,voq1,completed,100.0,Content: Text and Visual,What are your insights and take-aways from the plot and the description for this data?,Set sizes are mostly equal.,undefined,undefined,undefined,undefined,2024-08-21T23:12:28.177Z,2024-08-21T23:13:21.569Z,53392,53392,Tennis Grand Slam Winners
5755c957eb80c4000741a9ce,Covid-Both-Q1,10,voq1,completed,100.0,Content: Text and Visual,How many sets are there?,6,6,True,0,100,2024-08-27T20:34:56.994Z,2024-08-27T20:35:51.332Z,54338,54338,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q1,10,voq2,completed,100.0,Content: Text and Visual,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-27T20:34:56.994Z,2024-08-27T20:35:51.332Z,54338,54338,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q1,10,voq3,completed,100.0,Content: Text and Visual,What is the largest intersection?,"Anosmia,Fatigue","Anosmia,Fatigue",True,undefined,undefined,2024-08-27T20:34:56.994Z,2024-08-27T20:35:51.332Z,54338,54338,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q1,10,voq4,completed,100.0,Content: Text and Visual,How large is the largest intersection?,281,281,True,0,1000000000,2024-08-27T20:34:56.994Z,2024-08-27T20:35:51.332Z,54338,54338,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q1,10,voq5,completed,100.0,Content: Text and Visual,How many sets make up the largest intersection?,It is the intersection of 2-3 sets,It is the intersection of 2-3 sets,True,undefined,undefined,2024-08-27T20:34:56.994Z,2024-08-27T20:35:51.332Z,54338,54338,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q1,10,voq6,completed,100.0,Content: Text and Visual,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-27T20:34:56.994Z,2024-08-27T20:35:51.332Z,54338,54338,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q1,10,voq7,completed,100.0,Content: Text and Visual,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-27T20:34:56.994Z,2024-08-27T20:35:51.332Z,54338,54338,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q1,10,voq8,completed,100.0,Content: Text and Visual,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-27T20:34:56.994Z,2024-08-27T20:35:51.332Z,54338,54338,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q2,11,voq1,completed,100.0,Content: Text and Visual,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-27T20:35:51.354Z,2024-08-27T20:36:03.860Z,12506,12506,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q2,11,voq2,completed,100.0,Content: Text and Visual,How well did you understand the information presented?,5,undefined,undefined,undefined,undefined,2024-08-27T20:35:51.354Z,2024-08-27T20:36:03.860Z,12506,12506,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q2,11,voq3,completed,100.0,Content: Text and Visual,How effective was the content at conveying information?,4,undefined,undefined,undefined,undefined,2024-08-27T20:35:51.354Z,2024-08-27T20:36:03.860Z,12506,12506,Covid Symptoms
5755c957eb80c4000741a9ce,Covid-Both-Q3,12,voq1,completed,100.0,Content: Text and Visual,What are your insights and take-aways from the plot and the description for this data?,"It shows how fatigue is consistently the most common trait, both by itself and intersecting with other symptoms, and that diarrhea and shortness of breath seem to be mostly unrelated to having covid.",undefined,undefined,undefined,undefined,2024-08-27T20:36:03.883Z,2024-08-27T20:37:20.808Z,76925,76925,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,7,voq1,completed,100.0,Content: Text and Visual,How many sets are there?,6,6,True,0,100,2024-08-21T21:54:30.524Z,2024-08-21T21:55:38.826Z,68302,68302,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,7,voq2,completed,100.0,Content: Text and Visual,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-21T21:54:30.524Z,2024-08-21T21:55:38.826Z,68302,68302,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,7,voq3,completed,100.0,Content: Text and Visual,What is the largest intersection?,Fatigue,"Anosmia,Fatigue",False,undefined,undefined,2024-08-21T21:54:30.524Z,2024-08-21T21:55:38.826Z,68302,68302,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,7,voq4,completed,100.0,Content: Text and Visual,How large is the largest intersection?,1531,281,False,0,1000000000,2024-08-21T21:54:30.524Z,2024-08-21T21:55:38.826Z,68302,68302,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,7,voq5,completed,100.0,Content: Text and Visual,How many sets make up the largest intersection?,It is only of a single set,It is the intersection of 2-3 sets,False,undefined,undefined,2024-08-21T21:54:30.524Z,2024-08-21T21:55:38.826Z,68302,68302,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,7,voq6,completed,100.0,Content: Text and Visual,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-21T21:54:30.524Z,2024-08-21T21:55:38.826Z,68302,68302,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,7,voq7,completed,100.0,Content: Text and Visual,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T21:54:30.524Z,2024-08-21T21:55:38.826Z,68302,68302,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,7,voq8,completed,100.0,Content: Text and Visual,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-21T21:54:30.524Z,2024-08-21T21:55:38.826Z,68302,68302,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q2,8,voq1,completed,100.0,Content: Text and Visual,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-21T21:55:38.973Z,2024-08-21T21:55:50.429Z,11456,11456,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q2,8,voq2,completed,100.0,Content: Text and Visual,How well did you understand the information presented?,3,undefined,undefined,undefined,undefined,2024-08-21T21:55:38.973Z,2024-08-21T21:55:50.429Z,11456,11456,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q2,8,voq3,completed,100.0,Content: Text and Visual,How effective was the content at conveying information?,3,undefined,undefined,undefined,undefined,2024-08-21T21:55:38.973Z,2024-08-21T21:55:50.429Z,11456,11456,Covid Symptoms
5955a3eb98c9c400019f5c5f,Covid-Both-Q3,9,voq1,completed,100.0,Content: Text and Visual,What are your insights and take-aways from the plot and the description for this data?,It is a little repetitive. ,undefined,undefined,undefined,undefined,2024-08-21T21:55:50.505Z,2024-08-21T21:57:01.821Z,71316,71316,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q1,7,voq1,completed,100.0,Content: Text and Visual,How many sets are there?,6,6,True,0,100,2024-08-21T21:46:02.392Z,2024-08-21T21:47:31.246Z,88854,88854,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q1,7,voq2,completed,100.0,Content: Text and Visual,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-21T21:46:02.392Z,2024-08-21T21:47:31.246Z,88854,88854,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q1,7,voq3,completed,100.0,Content: Text and Visual,What is the largest intersection?,"Anosmia,Fatigue","Anosmia,Fatigue",True,undefined,undefined,2024-08-21T21:46:02.392Z,2024-08-21T21:47:31.246Z,88854,88854,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q1,7,voq4,completed,100.0,Content: Text and Visual,How large is the largest intersection?,281,281,True,0,1000000000,2024-08-21T21:46:02.392Z,2024-08-21T21:47:31.246Z,88854,88854,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q1,7,voq5,completed,100.0,Content: Text and Visual,How many sets make up the largest intersection?,It is the intersection of 2-3 sets,It is the intersection of 2-3 sets,True,undefined,undefined,2024-08-21T21:46:02.392Z,2024-08-21T21:47:31.246Z,88854,88854,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q1,7,voq6,completed,100.0,Content: Text and Visual,How similar are the set sizes?,Diverging a bit,Diverging a lot,False,undefined,undefined,2024-08-21T21:46:02.392Z,2024-08-21T21:47:31.246Z,88854,88854,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q1,7,voq7,completed,100.0,Content: Text and Visual,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T21:46:02.392Z,2024-08-21T21:47:31.246Z,88854,88854,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q1,7,voq8,completed,100.0,Content: Text and Visual,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-21T21:46:02.392Z,2024-08-21T21:47:31.246Z,88854,88854,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q2,8,voq1,completed,100.0,Content: Text and Visual,How confident are you in your answers?,4,undefined,undefined,undefined,undefined,2024-08-21T21:47:31.324Z,2024-08-21T21:47:47.822Z,16498,13843,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q2,8,voq2,completed,100.0,Content: Text and Visual,How well did you understand the information presented?,5,undefined,undefined,undefined,undefined,2024-08-21T21:47:31.324Z,2024-08-21T21:47:47.822Z,16498,13843,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q2,8,voq3,completed,100.0,Content: Text and Visual,How effective was the content at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T21:47:31.324Z,2024-08-21T21:47:47.822Z,16498,13843,Covid Symptoms
597fe89a1b41a20001749f57,Covid-Both-Q3,9,voq1,completed,100.0,Content: Text and Visual,What are your insights and take-aways from the plot and the description for this data?,This is a good way to visualize data where there are multiple inputs such as symptoms to see if there is a relationship between the symptoms.,undefined,undefined,undefined,undefined,2024-08-21T21:47:47.841Z,2024-08-21T21:48:40.702Z,52861,52861,Covid Symptoms
5997043dbbe84800017964a7,Tennis-Both-Q1,10,voq1,completed,100.0,Content: Text and Visual,How many sets are there?,4,4,True,0,100,2024-08-27T20:05:57.256Z,2024-08-27T20:07:47.607Z,110351,110351,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q1,10,voq2,completed,100.0,Content: Text and Visual,What is the largest set?,Australian,Australian,True,undefined,undefined,2024-08-27T20:05:57.256Z,2024-08-27T20:07:47.607Z,110351,110351,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q1,10,voq3,completed,100.0,Content: Text and Visual,What is the largest intersection?,Australian,French Open,False,undefined,undefined,2024-08-27T20:05:57.256Z,2024-08-27T20:07:47.607Z,110351,110351,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q1,10,voq4,completed,100.0,Content: Text and Visual,How large is the largest intersection?,23,23,True,0,1000000000,2024-08-27T20:05:57.256Z,2024-08-27T20:07:47.607Z,110351,110351,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q1,10,voq5,completed,100.0,Content: Text and Visual,How many sets make up the largest intersection?,It is the intersection of 2-3 sets,It is only of a single set,False,undefined,undefined,2024-08-27T20:05:57.256Z,2024-08-27T20:07:47.607Z,110351,110351,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q1,10,voq6,completed,100.0,Content: Text and Visual,How similar are the set sizes?,Diverging a lot,Roughly equal,False,undefined,undefined,2024-08-27T20:05:57.256Z,2024-08-27T20:07:47.607Z,110351,110351,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q1,10,voq7,completed,100.0,Content: Text and Visual,Is the largest set present in the largest intersection?,Yes,No,False,undefined,undefined,2024-08-27T20:05:57.256Z,2024-08-27T20:07:47.607Z,110351,110351,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q1,10,voq8,completed,100.0,Content: Text and Visual,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-27T20:05:57.256Z,2024-08-27T20:07:47.607Z,110351,110351,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q2,11,voq1,completed,100.0,Content: Text and Visual,How confident are you in your answers?,1,undefined,undefined,undefined,undefined,2024-08-27T20:07:47.635Z,2024-08-27T20:07:56.474Z,8839,8839,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q2,11,voq2,completed,100.0,Content: Text and Visual,How well did you understand the information presented?,2,undefined,undefined,undefined,undefined,2024-08-27T20:07:47.635Z,2024-08-27T20:07:56.474Z,8839,8839,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q2,11,voq3,completed,100.0,Content: Text and Visual,How effective was the content at conveying information?,2,undefined,undefined,undefined,undefined,2024-08-27T20:07:47.635Z,2024-08-27T20:07:56.474Z,8839,8839,Tennis Grand Slam Winners
5997043dbbe84800017964a7,Tennis-Both-Q3,12,voq1,completed,100.0,Content: Text and Visual,What are your insights and take-aways from the plot and the description for this data?,again confusing,undefined,undefined,undefined,undefined,2024-08-27T20:07:56.492Z,2024-08-27T20:08:08.606Z,12114,12114,Tennis Grand Slam Winners
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,10,voq1,completed,100.0,Content: Text and Visual,How many sets are there?,6,6,True,0,100,2024-08-28T22:20:02.928Z,2024-08-28T22:23:36.012Z,213084,213084,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,10,voq2,completed,100.0,Content: Text and Visual,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-28T22:20:02.928Z,2024-08-28T22:23:36.012Z,213084,213084,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,10,voq3,completed,100.0,Content: Text and Visual,What is the largest intersection?,"Anosmia,Fatigue","Anosmia,Fatigue",True,undefined,undefined,2024-08-28T22:20:02.928Z,2024-08-28T22:23:36.012Z,213084,213084,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,10,voq4,completed,100.0,Content: Text and Visual,How large is the largest intersection?,281,281,True,0,1000000000,2024-08-28T22:20:02.928Z,2024-08-28T22:23:36.012Z,213084,213084,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,10,voq5,completed,100.0,Content: Text and Visual,How many sets make up the largest intersection?,It is the intersection of 2-3 sets,It is the intersection of 2-3 sets,True,undefined,undefined,2024-08-28T22:20:02.928Z,2024-08-28T22:23:36.012Z,213084,213084,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,10,voq6,completed,100.0,Content: Text and Visual,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-28T22:20:02.928Z,2024-08-28T22:23:36.012Z,213084,213084,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,10,voq7,completed,100.0,Content: Text and Visual,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-28T22:20:02.928Z,2024-08-28T22:23:36.012Z,213084,213084,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,10,voq8,completed,100.0,Content: Text and Visual,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-28T22:20:02.928Z,2024-08-28T22:23:36.012Z,213084,213084,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q2,11,voq1,completed,100.0,Content: Text and Visual,How confident are you in your answers?,3,undefined,undefined,undefined,undefined,2024-08-28T22:23:36.031Z,2024-08-28T22:23:41.708Z,5677,5677,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q2,11,voq2,completed,100.0,Content: Text and Visual,How well did you understand the information presented?,3,undefined,undefined,undefined,undefined,2024-08-28T22:23:36.031Z,2024-08-28T22:23:41.708Z,5677,5677,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q2,11,voq3,completed,100.0,Content: Text and Visual,How effective was the content at conveying information?,3,undefined,undefined,undefined,undefined,2024-08-28T22:23:36.031Z,2024-08-28T22:23:41.708Z,5677,5677,Covid Symptoms
5a893c8cf49c9a0001f3a221,Covid-Both-Q3,12,voq1,completed,100.0,Content: Text and Visual,What are your insights and take-aways from the plot and the description for this data?,This plot set showed the symptoms of Covid and how many cases shared the same symptoms.,undefined,undefined,undefined,undefined,2024-08-28T22:23:41.719Z,2024-08-28T22:24:17.966Z,36247,36247,Covid Symptoms
5aebc4ac75deca00016252ea,Tennis-Both-Q1,10,voq1,completed,100.0,Content: Text and Visual,How many sets are there?,4,4,True,0,100,2024-08-21T23:08:32.622Z,2024-08-21T23:13:06.840Z,274218,274218,Tennis Grand Slam Winners
