participantId,trialId,trialOrder,responseId,status,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,configHash
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Consent","1","id","completed","100.00","undefined","undefined","Your Prolific ID","Rahat Zaman","undefined","undefined","undefined","2024-07-31T03:26:03.202Z","2024-07-31T03:27:28.983Z","85781","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Consent","1","consent","completed","100.00","undefined","undefined","Do you consent to the study and wish to continue?","yes","undefined","undefined","undefined","2024-07-31T03:26:03.202Z","2024-07-31T03:27:28.983Z","85781","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 1","3","1","completed","100.00","undefined","Please answer the following questions:","What is the largest set?","Romance","Action","undefined","undefined","2024-07-31T03:48:25.846Z","2024-07-31T03:52:51.094Z","265248","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 1","3","2","completed","100.00","undefined","Please answer the following questions:","What is the largest intersection?","Empty Intersection","Empty Intersection (no sets)","undefined","undefined","2024-07-31T03:48:25.846Z","2024-07-31T03:52:51.094Z","265248","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 1","3","3","completed","100.00","undefined","Please answer the following questions:","How many sets make up the largest intersection?","No set","It is the empty intersection (no sets)","undefined","undefined","2024-07-31T03:48:25.846Z","2024-07-31T03:52:51.094Z","265248","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 2","4","1","completed","100.00","undefined","Please answer the following questions:","What is the largest set?","Adventure","Adventure","undefined","undefined","2024-07-31T03:52:51.112Z","2024-07-31T04:01:08.980Z","497868","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 2","4","2","completed","100.00","undefined","Please answer the following questions:","What is the largest intersection?","Empty Intersection","Adventure","undefined","undefined","2024-07-31T03:52:51.112Z","2024-07-31T04:01:08.980Z","497868","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 2","4","3","completed","100.00","undefined","Please answer the following questions:","How many sets make up the largest intersection?","No set","It is only of a single set.","undefined","undefined","2024-07-31T03:52:51.112Z","2024-07-31T04:01:08.980Z","497868","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 3","5","1","completed","100.00","undefined","Please answer the following questions:","What is the largest set?","Drama","Drama","undefined","undefined","2024-07-31T04:01:08.993Z","2024-07-31T04:01:40.418Z","31425","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 3","5","2","completed","100.00","undefined","Please answer the following questions:","What is the largest intersection?","Drama","Drama","undefined","undefined","2024-07-31T04:01:08.993Z","2024-07-31T04:01:40.418Z","31425","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Training 3","5","3","completed","100.00","undefined","Please answer the following questions:","How many sets make up the largest intersection?","Independent set","It is only of a single set.","undefined","undefined","2024-07-31T04:01:08.993Z","2024-07-31T04:01:40.418Z","31425","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq1","completed","100.00","Content: Text Only","Please answer the following question about the text:","How many sets are shown in the description?","6","undefined","0","100","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq2","completed","100.00","Content: Text Only","Please answer the following question about the text:","What is the largest set?","Fatigue","undefined","undefined","undefined","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
"2033c860-b467-42e3-ab2e-19ca44e65b0a","Covid-Text-Q1","7","voq3","completed","100.00","Content: Text Only","Please answer the following question about the text:","What is the largest intersection?","Empty Intersection","undefined","undefined","undefined","2024-07-31T04:01:44.092Z","2024-07-31T04:13:04.386Z","680294","ecdced17dc1fd86b8b83f4914646d257990133f94230749d2417f2136be6214d"
