participantId,trialId,trialOrder,responseId,status,percentComplete,description,responsePrompt,answer,correctAnswer,isCorrectlyAnswered,responseMin,responseMax,startTime,endTime,duration,dataset
574dc90512d86b000f833ab0,Organizations-Vis-Q1,10,voq1,completed,100.0,Content: Visualization Only,How many sets are shown in the upset plot?,8,8,True,0,100,2024-08-21T23:08:51.313Z,2024-08-21T23:10:02.643Z,71330,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q1,10,voq2,completed,100.0,Content: Visualization Only,What is the largest set?,UPU,UPU,True,undefined,undefined,2024-08-21T23:08:51.313Z,2024-08-21T23:10:02.643Z,71330,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q1,10,voq3,completed,100.0,Content: Visualization Only,What is the largest intersection?,"Interpol,UN,UNESCO,UPU,WHO","Interpol,UN,UNESCO,UPU,WHO",True,undefined,undefined,2024-08-21T23:08:51.313Z,2024-08-21T23:10:02.643Z,71330,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q1,10,voq4,completed,100.0,Content: Visualization Only,How large is the largest intersection?,117,117,True,0,1000000000,2024-08-21T23:08:51.313Z,2024-08-21T23:10:02.643Z,71330,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q1,10,voq5,completed,100.0,Content: Visualization Only,How many sets make up the largest intersection?,It is the intersection of many sets,It is the intersection of many sets,True,undefined,undefined,2024-08-21T23:08:51.313Z,2024-08-21T23:10:02.643Z,71330,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q1,10,voq6,completed,100.0,Content: Visualization Only,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-21T23:08:51.313Z,2024-08-21T23:10:02.643Z,71330,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q1,10,voq7,completed,100.0,Content: Visualization Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T23:08:51.313Z,2024-08-21T23:10:02.643Z,71330,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q1,10,voq8,completed,100.0,Content: Visualization Only,Is the all-set intersection (intersection having all the sets) present? ,No,No,True,undefined,undefined,2024-08-21T23:08:51.313Z,2024-08-21T23:10:02.643Z,71330,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q2,11,voq1,completed,100.0,Content: Visualization Only,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-21T23:10:02.662Z,2024-08-21T23:10:08.275Z,5613,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q2,11,voq2,completed,100.0,Content: Visualization Only,How well did you understand the information presented?,4,undefined,undefined,undefined,undefined,2024-08-21T23:10:02.662Z,2024-08-21T23:10:08.275Z,5613,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q2,11,voq3,completed,100.0,Content: Visualization Only,How effective was the plot at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T23:10:02.662Z,2024-08-21T23:10:08.275Z,5613,International Organizations
574dc90512d86b000f833ab0,Organizations-Vis-Q3,12,voq1,completed,100.0,Content: Visualization Only,What are your insights and take-aways from this plot for this data?,There is a large divergence in the sets and the intersections.,undefined,undefined,undefined,undefined,2024-08-21T23:10:08.287Z,2024-08-21T23:11:09.976Z,61689,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,10,voq1,completed,100.0,Content: Visualization Only,How many sets are shown in the upset plot?,8,8,True,0,100,2024-08-21T21:57:02.033Z,2024-08-21T21:59:07.692Z,125659,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,10,voq2,completed,100.0,Content: Visualization Only,What is the largest set?,UPU,UPU,True,undefined,undefined,2024-08-21T21:57:02.033Z,2024-08-21T21:59:07.692Z,125659,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,10,voq3,completed,100.0,Content: Visualization Only,What is the largest intersection?,Interpol,"Interpol,UN,UNESCO,UPU,WHO",False,undefined,undefined,2024-08-21T21:57:02.033Z,2024-08-21T21:59:07.692Z,125659,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,10,voq4,completed,100.0,Content: Visualization Only,How large is the largest intersection?,118,117,False,0,1000000000,2024-08-21T21:57:02.033Z,2024-08-21T21:59:07.692Z,125659,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,10,voq5,completed,100.0,Content: Visualization Only,How many sets make up the largest intersection?,It is the intersection of many sets,It is the intersection of many sets,True,undefined,undefined,2024-08-21T21:57:02.033Z,2024-08-21T21:59:07.692Z,125659,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,10,voq6,completed,100.0,Content: Visualization Only,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-21T21:57:02.033Z,2024-08-21T21:59:07.692Z,125659,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,10,voq7,completed,100.0,Content: Visualization Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T21:57:02.033Z,2024-08-21T21:59:07.692Z,125659,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,10,voq8,completed,100.0,Content: Visualization Only,Is the all-set intersection (intersection having all the sets) present? ,No,No,True,undefined,undefined,2024-08-21T21:57:02.033Z,2024-08-21T21:59:07.692Z,125659,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q2,11,voq1,completed,100.0,Content: Visualization Only,How confident are you in your answers?,3,undefined,undefined,undefined,undefined,2024-08-21T21:59:07.833Z,2024-08-21T21:59:16.677Z,8844,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q2,11,voq2,completed,100.0,Content: Visualization Only,How well did you understand the information presented?,3,undefined,undefined,undefined,undefined,2024-08-21T21:59:07.833Z,2024-08-21T21:59:16.677Z,8844,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q2,11,voq3,completed,100.0,Content: Visualization Only,How effective was the plot at conveying information?,3,undefined,undefined,undefined,undefined,2024-08-21T21:59:07.833Z,2024-08-21T21:59:16.677Z,8844,International Organizations
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q3,12,voq1,completed,100.0,Content: Visualization Only,What are your insights and take-aways from this plot for this data?,I think the set is about government organizations but I'm not sure. ,undefined,undefined,undefined,undefined,2024-08-21T21:59:16.735Z,2024-08-21T22:00:00.371Z,43636,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q1,10,voq1,completed,100.0,Content: Visualization Only,How many sets are shown in the upset plot?,8,8,True,0,100,2024-08-21T21:48:40.780Z,2024-08-21T21:50:09.169Z,88389,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q1,10,voq2,completed,100.0,Content: Visualization Only,What is the largest set?,UPU,UPU,True,undefined,undefined,2024-08-21T21:48:40.780Z,2024-08-21T21:50:09.169Z,88389,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q1,10,voq3,completed,100.0,Content: Visualization Only,What is the largest intersection?,"Interpol,UN,UNESCO,UPU,WHO","Interpol,UN,UNESCO,UPU,WHO",True,undefined,undefined,2024-08-21T21:48:40.780Z,2024-08-21T21:50:09.169Z,88389,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q1,10,voq4,completed,100.0,Content: Visualization Only,How large is the largest intersection?,117,117,True,0,1000000000,2024-08-21T21:48:40.780Z,2024-08-21T21:50:09.169Z,88389,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q1,10,voq5,completed,100.0,Content: Visualization Only,How many sets make up the largest intersection?,It is the intersection of many sets,It is the intersection of many sets,True,undefined,undefined,2024-08-21T21:48:40.780Z,2024-08-21T21:50:09.169Z,88389,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q1,10,voq6,completed,100.0,Content: Visualization Only,How similar are the set sizes?,Roughly equal,Diverging a lot,False,undefined,undefined,2024-08-21T21:48:40.780Z,2024-08-21T21:50:09.169Z,88389,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q1,10,voq7,completed,100.0,Content: Visualization Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T21:48:40.780Z,2024-08-21T21:50:09.169Z,88389,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q1,10,voq8,completed,100.0,Content: Visualization Only,Is the all-set intersection (intersection having all the sets) present? ,Yes,No,False,undefined,undefined,2024-08-21T21:48:40.780Z,2024-08-21T21:50:09.169Z,88389,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q2,11,voq1,completed,100.0,Content: Visualization Only,How confident are you in your answers?,3,undefined,undefined,undefined,undefined,2024-08-21T21:50:09.225Z,2024-08-21T21:50:20.113Z,10888,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q2,11,voq2,completed,100.0,Content: Visualization Only,How well did you understand the information presented?,5,undefined,undefined,undefined,undefined,2024-08-21T21:50:09.225Z,2024-08-21T21:50:20.113Z,10888,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q2,11,voq3,completed,100.0,Content: Visualization Only,How effective was the plot at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T21:50:09.225Z,2024-08-21T21:50:20.113Z,10888,International Organizations
597fe89a1b41a20001749f57,Organizations-Vis-Q3,12,voq1,completed,100.0,Content: Visualization Only,What are your insights and take-aways from this plot for this data?,Some of the organizations are more popular than others and they occur in groups more often than alone.,undefined,undefined,undefined,undefined,2024-08-21T21:50:20.132Z,2024-08-21T21:50:57.153Z,37021,International Organizations
5aebc4ac75deca00016252ea,Covid-Vis-Q1,13,voq1,completed,100.0,Content: Visualization Only,How many sets are shown in the upset plot?,6,6,True,0,100,2024-08-21T23:13:59.234Z,2024-08-21T23:16:04.008Z,124774,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q1,13,voq2,completed,100.0,Content: Visualization Only,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-21T23:13:59.234Z,2024-08-21T23:16:04.008Z,124774,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q1,13,voq3,completed,100.0,Content: Visualization Only,What is the largest intersection?,"Anosmia,Fatigue,Cough","Anosmia,Fatigue",False,undefined,undefined,2024-08-21T23:13:59.234Z,2024-08-21T23:16:04.008Z,124774,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q1,13,voq4,completed,100.0,Content: Visualization Only,How large is the largest intersection?,3,281,False,0,1000000000,2024-08-21T23:13:59.234Z,2024-08-21T23:16:04.008Z,124774,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q1,13,voq5,completed,100.0,Content: Visualization Only,How many sets make up the largest intersection?,It is the intersection of 2-3 sets,It is the intersection of 2-3 sets,True,undefined,undefined,2024-08-21T23:13:59.234Z,2024-08-21T23:16:04.008Z,124774,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q1,13,voq6,completed,100.0,Content: Visualization Only,How similar are the set sizes?,Diverging a lot,Diverging a lot,True,undefined,undefined,2024-08-21T23:13:59.234Z,2024-08-21T23:16:04.008Z,124774,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q1,13,voq7,completed,100.0,Content: Visualization Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T23:13:59.234Z,2024-08-21T23:16:04.008Z,124774,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q1,13,voq8,completed,100.0,Content: Visualization Only,Is the all-set intersection (intersection having all the sets) present? ,Yes,Yes,True,undefined,undefined,2024-08-21T23:13:59.234Z,2024-08-21T23:16:04.008Z,124774,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q2,14,voq1,completed,100.0,Content: Visualization Only,How confident are you in your answers?,5,undefined,undefined,undefined,undefined,2024-08-21T23:16:04.076Z,2024-08-21T23:16:10.192Z,6116,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q2,14,voq2,completed,100.0,Content: Visualization Only,How well did you understand the information presented?,5,undefined,undefined,undefined,undefined,2024-08-21T23:16:04.076Z,2024-08-21T23:16:10.192Z,6116,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q2,14,voq3,completed,100.0,Content: Visualization Only,How effective was the plot at conveying information?,5,undefined,undefined,undefined,undefined,2024-08-21T23:16:04.076Z,2024-08-21T23:16:10.192Z,6116,Covid Symptoms
5aebc4ac75deca00016252ea,Covid-Vis-Q3,15,voq1,completed,100.0,Content: Visualization Only,What are your insights and take-aways from this plot for this data?,The UpSet plot shows covid cases and their symptoms,undefined,undefined,undefined,undefined,2024-08-21T23:16:10.214Z,2024-08-21T23:16:38.351Z,28137,Covid Symptoms
5ba855d47c0ebe0001272f70,Covid-Vis-Q1,7,voq1,completed,100.0,Content: Visualization Only,How many sets are shown in the upset plot?,6,6,True,0,100,2024-08-21T21:42:39.605Z,2024-08-21T21:44:06.911Z,87306,Covid Symptoms
5ba855d47c0ebe0001272f70,Covid-Vis-Q1,7,voq2,completed,100.0,Content: Visualization Only,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-21T21:42:39.605Z,2024-08-21T21:44:06.911Z,87306,Covid Symptoms
5ba855d47c0ebe0001272f70,Covid-Vis-Q1,7,voq3,completed,100.0,Content: Visualization Only,What is the largest intersection?,"Anosmia,Fatigue","Anosmia,Fatigue",True,undefined,undefined,2024-08-21T21:42:39.605Z,2024-08-21T21:44:06.911Z,87306,Covid Symptoms
5ba855d47c0ebe0001272f70,Covid-Vis-Q1,7,voq4,completed,100.0,Content: Visualization Only,How large is the largest intersection?,281,281,True,0,1000000000,2024-08-21T21:42:39.605Z,2024-08-21T21:44:06.911Z,87306,Covid Symptoms
5ba855d47c0ebe0001272f70,Covid-Vis-Q1,7,voq5,completed,100.0,Content: Visualization Only,How many sets make up the largest intersection?,It is the intersection of 2-3 sets,It is the intersection of 2-3 sets,True,undefined,undefined,2024-08-21T21:42:39.605Z,2024-08-21T21:44:06.911Z,87306,Covid Symptoms
5ba855d47c0ebe0001272f70,Covid-Vis-Q1,7,voq6,completed,100.0,Content: Visualization Only,How similar are the set sizes?,Diverging a bit,Diverging a lot,False,undefined,undefined,2024-08-21T21:42:39.605Z,2024-08-21T21:44:06.911Z,87306,Covid Symptoms
5ba855d47c0ebe0001272f70,Covid-Vis-Q1,7,voq7,completed,100.0,Content: Visualization Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T21:42:39.605Z,2024-08-21T21:44:06.911Z,87306,Covid Symptoms
