participantId,trialId,condition,correctness,duration_seconds
574dc90512d86b000f833ab0,Covid-Text-Q1,Text,75.0,200.227
574dc90512d86b000f833ab0,Organizations-Vis-Q1,VIS,100.0,71.33
574dc90512d86b000f833ab0,Tennis-Both-Q1,Both,87.5,66.28899999999999
5755c957eb80c4000741a9ce,Covid-Both-Q1,Both,100.0,54.337999999999994
5755c957eb80c4000741a9ce,Organizations-Text-Q1,Text,100.0,114.337
5755c957eb80c4000741a9ce,Tennis-Vis-Q1,VIS,100.0,28.841
5955a3eb98c9c400019f5c5f,Covid-Both-Q1,Both,62.5,68.302
5955a3eb98c9c400019f5c5f,Organizations-Vis-Q1,VIS,75.0,125.659
5955a3eb98c9c400019f5c5f,Tennis-Text-Q1,Text,87.5,75.688
597fe89a1b41a20001749f57,Covid-Both-Q1,Both,87.5,88.85400000000001
597fe89a1b41a20001749f57,Organizations-Vis-Q1,VIS,75.0,88.389
597fe89a1b41a20001749f57,Tennis-Text-Q1,Text,100.0,99.467
5997043dbbe84800017964a7,Covid-Text-Q1,Text,50.0,188.362
5997043dbbe84800017964a7,Organizations-Vis-Q1,VIS,37.5,67.22
5997043dbbe84800017964a7,Tennis-Both-Q1,Both,50.0,110.351
5a893c8cf49c9a0001f3a221,Covid-Both-Q1,Both,100.0,213.084
5a893c8cf49c9a0001f3a221,Organizations-Vis-Q1,VIS,75.0,232.87
5a893c8cf49c9a0001f3a221,Tennis-Text-Q1,Text,75.0,68.001
5aebc4ac75deca00016252ea,Covid-Vis-Q1,VIS,75.0,124.774
5aebc4ac75deca00016252ea,Organizations-Text-Q1,Text,75.0,303.128
5aebc4ac75deca00016252ea,Tennis-Both-Q1,Both,50.0,274.21799999999996
5ba855d47c0ebe0001272f70,Covid-Vis-Q1,VIS,75.0,87.306
5ba855d47c0ebe0001272f70,Organizations-Both-Q1,Both,87.5,123.974
5ba855d47c0ebe0001272f70,Tennis-Text-Q1,Text,87.5,103.952
5bf60707345b9b00016f0e97,Covid-Text-Q1,Text,87.5,98.738
5bf60707345b9b00016f0e97,Organizations-Vis-Q1,VIS,100.0,78.42
5bf60707345b9b00016f0e97,Tennis-Both-Q1,Both,87.5,190.85399999999998
5c6c260dce4e560001f75731,Covid-Vis-Q1,VIS,100.0,155.24099999999999
5c6c260dce4e560001f75731,Organizations-Text-Q1,Text,100.0,114.07900000000001
5c6c260dce4e560001f75731,Tennis-Both-Q1,Both,87.5,61.550000000000004
5dd71896670d1a6af9f20eee,Covid-Vis-Q1,VIS,100.0,109.69
5dd71896670d1a6af9f20eee,Organizations-Both-Q1,Both,100.0,147.775
5dd71896670d1a6af9f20eee,Tennis-Text-Q1,Text,87.5,166.05599999999998
5deb9c5a4de9422935efe5e7,Covid-Text-Q1,Text,87.5,188.52100000000002
5deb9c5a4de9422935efe5e7,Organizations-Both-Q1,Both,100.0,64.763
5deb9c5a4de9422935efe5e7,Tennis-Vis-Q1,VIS,87.5,47.20399999999999
5dff767f69a117bc2fbd4be8,Covid-Both-Q1,Both,100.0,247.20899999999997
5dff767f69a117bc2fbd4be8,Organizations-Text-Q1,Text,87.5,498.16499999999996
5dff767f69a117bc2fbd4be8,Tennis-Vis-Q1,VIS,87.5,136.82899999999998
5e02e5144acfb9e385bb4c5a,Covid-Text-Q1,Text,100.0,173.984
5e02e5144acfb9e385bb4c5a,Organizations-Vis-Q1,VIS,100.0,96.415
5e02e5144acfb9e385bb4c5a,Tennis-Both-Q1,Both,100.0,80.37599999999999
5e63cacbe43f28152567f42b,Covid-Both-Q1,Both,100.0,137.423
5e63cacbe43f28152567f42b,Organizations-Text-Q1,Text,87.5,295.119
5e63cacbe43f28152567f42b,Tennis-Vis-Q1,VIS,87.5,82.173
5ecc0077922a5d0a247e79ac,Covid-Both-Q1,Both,100.0,63.211
5ecc0077922a5d0a247e79ac,Organizations-Vis-Q1,VIS,100.0,58.419000000000004
5ecc0077922a5d0a247e79ac,Tennis-Text-Q1,Text,87.5,133.84699999999998
5ece9e3b3a19db0cf5af6692,Covid-Both-Q1,Both,87.5,258.54699999999997
5ece9e3b3a19db0cf5af6692,Organizations-Vis-Q1,VIS,75.0,121.464
5ece9e3b3a19db0cf5af6692,Tennis-Text-Q1,Text,62.5,255.409
5ed7b0c59a2ae024836e32d5,Covid-Text-Q1,Text,75.0,102.91
5ed7b0c59a2ae024836e32d5,Organizations-Vis-Q1,VIS,75.0,222.405
5ed7b0c59a2ae024836e32d5,Tennis-Both-Q1,Both,62.5,97.91999999999999
5ee1cf1e0df8e55c6b9e1f1a,Covid-Both-Q1,Both,100.0,48.726
5ee1cf1e0df8e55c6b9e1f1a,Organizations-Vis-Q1,VIS,75.0,72.769
5ee1cf1e0df8e55c6b9e1f1a,Tennis-Text-Q1,Text,62.5,141.467
5efb49177e130c0785b93842,Covid-Vis-Q1,VIS,100.0,529.1179999999999
5efb49177e130c0785b93842,Organizations-Both-Q1,Both,87.5,218.212
5efb49177e130c0785b93842,Tennis-Text-Q1,Text,87.5,155.645
5f4fc497a3b4320c8928639e,Covid-Both-Q1,Both,100.0,53.984
5f4fc497a3b4320c8928639e,Organizations-Vis-Q1,VIS,100.0,90.646
5f4fc497a3b4320c8928639e,Tennis-Text-Q1,Text,87.5,109.79899999999999
6008793f0294554adc85c346,Covid-Both-Q1,Both,100.0,231.019
6008793f0294554adc85c346,Organizations-Text-Q1,Text,87.5,264.508
6008793f0294554adc85c346,Tennis-Vis-Q1,VIS,37.5,145.348
60188c50141a9415c30301e0,Covid-Text-Q1,Text,100.0,117.69800000000001
60188c50141a9415c30301e0,Organizations-Vis-Q1,VIS,87.5,155.36200000000002
60188c50141a9415c30301e0,Tennis-Both-Q1,Both,100.0,110.61999999999999
603d90a1cd5c8ec6df906814,Covid-Vis-Q1,VIS,100.0,37.788000000000004
603d90a1cd5c8ec6df906814,Organizations-Both-Q1,Both,100.0,59.970000000000006
603d90a1cd5c8ec6df906814,Tennis-Text-Q1,Text,87.5,93.26499999999999
60fcd02deba2c8e1ed1f0723,Covid-Vis-Q1,VIS,100.0,56.197
60fcd02deba2c8e1ed1f0723,Organizations-Both-Q1,Both,100.0,99.015
60fcd02deba2c8e1ed1f0723,Tennis-Text-Q1,Text,100.0,102.128
61080d1c39e080da7841eade,Covid-Vis-Q1,VIS,100.0,55.065999999999995
61080d1c39e080da7841eade,Organizations-Text-Q1,Text,100.0,84.901
61080d1c39e080da7841eade,Tennis-Both-Q1,Both,87.5,37.228
610f7244c65ae4e57858a700,Covid-Both-Q1,Both,100.0,130.768
610f7244c65ae4e57858a700,Organizations-Text-Q1,Text,100.0,241.433
610f7244c65ae4e57858a700,Tennis-Vis-Q1,VIS,87.5,214.24099999999999
611116ac01f43eeeb3cdeff3,Covid-Text-Q1,Text,87.5,66.948
611116ac01f43eeeb3cdeff3,Organizations-Both-Q1,Both,100.0,83.54400000000001
611116ac01f43eeeb3cdeff3,Tennis-Vis-Q1,VIS,87.5,65.215
6131597390b9cf1cfc3e8a76,Covid-Both-Q1,Both,100.0,180.39600000000002
6131597390b9cf1cfc3e8a76,Organizations-Text-Q1,Text,100.0,255.018
6131597390b9cf1cfc3e8a76,Tennis-Vis-Q1,VIS,37.5,152.66299999999998
628254ec789e78a3dcd22d99,Covid-Vis-Q1,VIS,100.0,96.382
628254ec789e78a3dcd22d99,Organizations-Both-Q1,Both,100.0,92.65899999999999
628254ec789e78a3dcd22d99,Tennis-Text-Q1,Text,100.0,96.78999999999999
62bb4c95ca36f792585cb4b5,Covid-Text-Q1,Text,62.5,127.644
62bb4c95ca36f792585cb4b5,Organizations-Both-Q1,Both,100.0,121.897
62bb4c95ca36f792585cb4b5,Tennis-Vis-Q1,VIS,87.5,90.79
6315ffdb9876ded7feefaf07,Covid-Text-Q1,Text,100.0,140.303
6315ffdb9876ded7feefaf07,Organizations-Vis-Q1,VIS,100.0,152.06300000000002
6315ffdb9876ded7feefaf07,Tennis-Both-Q1,Both,87.5,124.70700000000001
63ea445c759d5bf0e3f63739,Covid-Vis-Q1,VIS,87.5,146.053
63ea445c759d5bf0e3f63739,Organizations-Text-Q1,Text,100.0,71.128
63ea445c759d5bf0e3f63739,Tennis-Both-Q1,Both,87.5,88.94
641ecfa9f83175a3d9f63636,Covid-Both-Q1,Both,100.0,123.604
641ecfa9f83175a3d9f63636,Organizations-Vis-Q1,VIS,100.0,132.01500000000001
641ecfa9f83175a3d9f63636,Tennis-Text-Q1,Text,100.0,91.70100000000001
