Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66ccfd201d3697129bdc5755,66c4d2c2713b223511e4e676,APPROVED,Not Applicable,2024-08-26T22:09:42.846000Z,2024-08-26T22:18:55.091000Z,2024-08-27T19:40:17.777000Z,2024-08-26T22:18:56.013207Z,553.0,CVRK3FRJ,1,20,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66ccfedb578fbabcdb098788,603d90a1cd5c8ec6df906814,APPROVED,Not Applicable,2024-08-26T22:17:02.827000Z,2024-08-26T22:30:54.531000Z,2024-08-27T19:40:18.495000Z,2024-08-26T22:33:32.171606Z,832.0,CVRK3FRJ,89,28,Male,Asian,United States,United States,United States,English,No,Full-Time
66cd01588938e92d6b4ff67f,666ffa40c99c2f9c3a47e3e4,APPROVED,Not Applicable,2024-08-26T22:29:16.652000Z,2024-08-26T23:47:44.656000Z,2024-08-27T19:40:26.855000Z,2024-08-26T23:48:29.798298Z,4709.0,CVRK3FRJ,71,28,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
66cd0262e2ba22c64ea372d0,66b544ce73d3561af98d76e1,APPROVED,Not Applicable,2024-08-26T22:32:20.786000Z,2024-08-26T23:05:04.694000Z,2024-08-27T19:40:19.835000Z,2024-08-26T23:05:05.285852Z,1964.0,CVRK3FRJ,13,20,Male,Asian,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
66cd0793e2ba22c64ea37387,6689878009ea0b87ff9b6ddc,APPROVED,Not Applicable,2024-08-26T22:54:18.538000Z,2024-08-26T23:14:31.548000Z,2024-08-27T19:40:24.001000Z,2024-08-26T23:14:32.167068Z,1214.0,CVRK3FRJ,54,24,Male,Asian,Canada,Canada,Canada,Cantonese,No,Unemployed (and job seeking)
66ccfcb8e9ee3c6558f19633,5cc5aec9ef83da0001cffead,RETURNED,Not Applicable,2024-08-26T22:07:58.008000Z,,,,,,2443,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66ccfcbc84efe6e84fa88907,582b12291bdd2f00018054f4,RETURNED,Not Applicable,2024-08-26T22:08:02.393000Z,,,,,,551,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66ccfd25ffff690f869386c0,66293ae63c9cc1e48e88d67c,RETURNED,Not Applicable,2024-08-26T22:09:55.141000Z,,,,,,645,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66ccfda0cdefbfe9ba3873b8,65442463f5fecf3989250669,RETURNED,Not Applicable,2024-08-26T22:11:49.725000Z,,,,,,248,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66ccfdb663ba209838a51587,57aa96584cda6e0001842142,RETURNED,Not Applicable,2024-08-26T22:12:15.629000Z,,,,,,1048,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66ccfebc79ee586225f0d899,60074d72cd735e2251a31e76,RETURNED,Not Applicable,2024-08-26T22:16:42.739000Z,,,,,,685,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66cd008e5bba91f96ed7b495,60fd9b084a91f75f655da04f,RETURNED,Not Applicable,2024-08-26T22:24:23.059000Z,,,,,,623,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66cd00925d8e82ca804f3fda,665de78479c33076f033677f,REJECTED,Not Applicable,2024-08-26T22:24:23.020000Z,2024-08-26T22:25:47.085000Z,2024-08-26T22:29:03.875000Z,2024-08-26T22:25:47.734000Z,85.0,CVRK3FRJ,101,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66cd01b7a92842f95ffbc17c,5b3fd4e03d066d0001608430,RETURNED,Not Applicable,2024-08-26T22:29:32.357000Z,,,,,,510,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66cd05385c865513e1d2b9a9,5ef636e35322f20eaee7c45f,RETURNED,Not Applicable,2024-08-26T22:44:33.519000Z,,,,,,42,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
