participantId,trialId,Condition,responsePrompt,answer,Sentiments,Tags,Index
6695703cec19c758ec8dbd7c,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Fatigue is the highest occurring symptom. The most common combination of symptoms is Fatigue and Anosmia. The lowest occurring symptom is shortness of breath and the lowest combination is shortness of breath and cough with only one recorded. 23 cases had all 6 symptoms.,,"High level data observation,Similar observation as intersection properties,Similar observation as set properties",302
5ba855d47c0ebe0001272f70,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"UPU is the organization with most member countries. Countries that are part of UPU are also likely to be members of Interpol, UN, UNESCO, WHO.",,High level data observation,38
62bb4c95ca36f792585cb4b5,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,I like having both the description and the visual. It allows me to cross reference in order to understand it completely.,,"Insight about Text and Vis both,Easy to parse information,Helpful as cross reference,Marking combined strategy as good way to visualize data",152
6668c49e07ce221e29f2bc5a,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"I find that if I am presented with both text description and data visualization, the data visualization helps me answer the question better. However, for people who do not understand how to interpret the data visualization, text description helps more.",,"Helpful as cross reference,Insight about Text and Vis both",243
5ee1cf1e0df8e55c6b9e1f1a,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Coolest data so far,,Comment about data content,93
66a90befd4b58c2cfb86e72a,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,"The Upset plot shows that most winner tend to win only one specific tournament, with the French open and Australian Open being the most common. However, a few winner have victories across all four grand slams.",,"High level data observation,Similar observation as intersection properties",326
5dff767f69a117bc2fbd4be8,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,I now understand how powerful combining both text and graphical works here. Taking a little more time to crosscheck visualisation with text gives greater (confidence in) accuracy and it is still very fast to parse the data.,Positive,"Insight about Text and Vis both,Combined format helps improve correctness,Easy to parse information",63
66c535b047ab0893183e06d8,Tennis-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,It shows the relationship of how a winner could win multiple tournaments.  The data shows how many winners won the different tournaments and the relationship of the number of people that won 1 and more 1 tournament,,"High level data observation,similar observation as upset introduction",382
66c4d2c2713b223511e4e676,Organizations-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,Pictures were better than words,,"Insight about Text and Vis both,easy to parse information from vis",371
5955a3eb98c9c400019f5c5f,Covid-Both-Q3,Both,What are your insights and take-aways from the plot and the description for this data?,It is a little repetitive.,Negative,"Insight about Text and Vis both,Repetitive format",11
